Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
62,Uptown,What a Nice Way to Turn Seventeen,The Chrystals,$0.45,The Crystals – Uptown / What A Nice Way To Turn Seventeen,https://www.discogs.com/master/457458-The-Crystals-Uptown-What-A-Nice-Way-To-Turn-Seventeen
63,I'm So Glad I Found You,Look Over Your Shoulder,The O'Jays,$2.00,The O'Jays – Look Over Your Shoulder / I'm So Glad I Found You,https://www.discogs.com/master/544853-The-OJays-Look-Over-Your-Shoulder-Im-So-Glad-I-Found-You
64,Piece of My Heart,"Baby, What You Want Me to Do",Erma Franklin,$0.50,Erma Franklin – Piece Of My Heart / Baby What You Want Me To Do,https://www.discogs.com/master/221487-Erma-Franklin-Piece-Of-My-Heart-Baby-What-You-Want-Me-To-Do
65,Win or Lose,I've Got to Have You,Fantastic Four,$0.22,Fantastic Four – I've Got To Have You / Win Or Lose (I'm Going To Love You),https://www.discogs.com/master/501031-Fantastic-Four-Ive-Got-To-Have-You-Win-Or-Lose-Im-Going-To-Love-You
66,And I Always Will,THe FIfe Piper,The Dynatones,$0.99,The Dynatones – The Fife Piper,https://www.discogs.com/master/721491-The-Dynatones-The-Fife-Piper
67,Flame of Love,I Know Better,The Flamingos,$2.00,The Flamingos – I Know Better / Flame Of Love,https://www.discogs.com/master/510544-The-Flamingos-I-Know-Better-Flame-Of-Love
68,Go! Head On,Hole in the Wall,The Packers,$0.98,The Packers – Hole In The Wall / Go 'Head On,https://www.discogs.com/master/411936-The-Packers-Hole-In-The-Wall-Go-Head-On
69,Find Me,Find Me,Attractions,$2.16,The National – Trouble Will Find Me,https://www.discogs.com/master/556601-The-National-Trouble-Will-Find-Me
70,You Know,You Better Go,Derek Martin,$0.99,Derek Martin – You Better Go / You Know,https://www.discogs.com/master/665397-Derek-Martin-You-Better-Go-You-Know
71,High on a Hill,When,Scott English,$0.73,Scott English – High On A Hill,https://www.discogs.com/master/390445-Scott-English-High-On-A-Hill
72,Old Love,You Beat Me to the Punch,Mary Wells,$0.99,Mary Wells – You Beat Me To The Punch / Old Love (Let's Try It Again),https://www.discogs.com/master/332277-Mary-Wells-You-Beat-Me-To-The-Punch-Old-Love-Lets-Try-It-Again
73,The Slop,Big Boy Pete,The Olympics,$0.60,The Olympics – Big Boy Pete,https://www.discogs.com/master/936432-The-Olympics-Big-Boy-Pete
74,Friday Night,Stand in For Love,The O'Jays,$0.98,The O'Jays – Stand In For Love / Friday Night,https://www.discogs.com/master/853309-The-OJays-Stand-In-For-Love-Friday-Night
75,If You Want to,Pretty Little Thing,The Carousels,$3.75,The Carousels – If You Want To / Pretty Little Thing,https://www.discogs.com/master/930063-The-Carousels-If-You-Want-To-Pretty-Little-Thing
76,It Must Be Love,Don't Let Her Be Your Baby,The Contours,$2.90,The Contours – Don't Let Her Be Your Baby,https://www.discogs.com/master/605661-The-Contours-Dont-Let-Her-Be-Your-Baby
77,I've Got to Have Her,Karate,The Emperors,$1.80,The Emperor's* – Karate / I've Got To Have Her,https://www.discogs.com/master/290222-The-Emperors-Karate-Ive-Got-To-Have-Her
78,"Happy, Happy Birthday Baby",Ol Man RIver,The Tune Weavers,$0.45,The Tune Weavers With Frank Paul's Orch.* – Happy- Happy Birthday Baby / Ol Man River,https://www.discogs.com/master/598926-The-Tune-Weavers-With-Frank-Pauls-Orch-Happy-Happy-Birthday-Baby-Ol-Man-River
79,Shine Again,Kiss-A-Kiss,The Adelphis,0,UNKNOWN,UNKNOWN
80,Bring My Daddy Home,City of Strangers,Chuck Corby and the Entrees,$190.00,Chuck Corby And The Entrees – City Of Strangers / Bring My Daddy Home,https://www.discogs.com/release/8623933-Chuck-Corby-And-The-Entrees-City-Of-Strangers-Bring-My-Daddy-Home
81,Watch the Flowers Grow,Raven,The 4 Seasons,$0.50,The 4 Seasons* – Watch The Flowers Grow,https://www.discogs.com/master/662437-The-4-Seasons-Watch-The-Flowers-Grow
82,Just Walk in My Shoes,Stepping Closer to Your Heart,Gladys Knight and The Pips,$25.56,Gladys Knight & The Pips* – Just Walk In My Shoes / Stepping Closer To Your Heart,https://www.discogs.com/release/7932830-Gladys-Knight-The-Pips-Just-Walk-In-My-Shoes-Stepping-Closer-To-Your-Heart
83,Tie A String Around Your Finger,My Daddy Knows Best,The Marvelettes,$0.99,The Marvelettes – My Daddy Knows Best / Tie A String Around Your Finger,https://www.discogs.com/master/786305-The-Marvelettes-My-Daddy-Knows-Best-Tie-A-String-Around-Your-Finger
84,Run Run Run,I'm Giving You Your Freedom,The Supremes,$3.00,The Supremes – Run- Run- Run / I'm Giving You Your Freedom,https://www.discogs.com/master/815383-The-Supremes-Run-Run-Run-Im-Giving-You-Your-Freedom
85,Where is the Party ,Something I Want to Tell You,Johnny and the Expressions,$0.50,Johnny And The Expressions* – Something I Want To Tell You / Where Is The Party,https://www.discogs.com/master/681821-Johnny-And-The-Expressions-Something-I-Want-To-Tell-You-Where-Is-The-Party
86,Young World,Summertime,Rick Nelson,$0.38,Rick Nelson* – Young World / Summertime,https://www.discogs.com/master/232149-Rick-Nelson-Young-World-Summertime
87,I ain't the Worryin' Kind,Isn't it Lonely Together,O.C.Smith,$0.63,O.C. Smith* – Isn't It Lonely Together / I Ain't The Worryin' Kind,https://www.discogs.com/master/404754-OC-Smith-Isnt-It-Lonely-Together-I-Aint-The-Worryin-Kind
88,Back to the Days of the Romans,Don't Stop Me,Lou Christie,$4.00,Lou Christie – Don't Stop Me (Jump Off The Edge Of Love) / Back To The Days Of The Romans,https://www.discogs.com/master/1144855-Lou-Christie-Dont-Stop-Me-Jump-Off-The-Edge-Of-Love-Back-To-The-Days-Of-The-Romans
89,I'm Sorry,Get it From the Bottom,The Steelers,$1.99,The Steelers (2) – Get It From The Bottom / I'm Sorry,https://www.discogs.com/master/223689-The-Steelers-Get-It-From-The-Bottom-Im-Sorry
90,Swish FIsh,39-21-46,The Showmen,$0.97,The Showmen – 39 - 21 - 46 / Swish Fish,https://www.discogs.com/master/518496-The-Showmen-39-21-46-Swish-Fish
91,Feelin' Fine,No Matter What Shape,The T-Bones,$0.29,The T-Bones – No Matter What Shape (Your Stomach's In),https://www.discogs.com/master/517723-The-T-Bones-No-Matter-What-Shape-Your-Stomachs-In
92,You're So Fine and Sweet,I Like it Like That,The Miracles,$1.29,The Miracles – I Like It Like That / You're So Fine And Sweet,https://www.discogs.com/master/412511-The-Miracles-I-Like-It-Like-That-Youre-So-Fine-And-Sweet
93,Shake,From Way Out to Way Under,Shadows of Night,$0.99,Shadows Of Knight* – Shake,https://www.discogs.com/master/206761-Shadows-Of-Knight-Shake
94,Go Little Willie,Emulsified,Rex Garvin and the Mighty Cravers,$15.99,Rex Garvin And The Mighty Cravers* – Emulsified / Go Little Willie,https://www.discogs.com/release/5945628-Rex-Garvin-And-The-Mighty-Cravers-Emulsified-Go-Little-Willie
95,Ooh Baby,Back to School,Bo Diddley,$1.00,Bo Diddley – Ooh Baby / Back To School,https://www.discogs.com/master/945068-Bo-Diddley-Ooh-Baby-Back-To-School
